,Trafic TG1,Prévision globale
2018-01-01,0.0,26876.62109375
2018-01-02,24243.0,22956.921875
2018-01-03,24171.0,23005.388671875
2018-01-04,32009.0,29675.537109375
2018-01-05,27897.0,26747.541015625
2018-01-08,31839.0,30710.208984375
2018-01-09,31404.0,30499.103515625
2018-01-10,41010.0,33710.20703125
2018-01-11,37956.0,33832.8671875
2018-01-12,29898.0,30171.142578125
2018-01-15,32067.0,31265.068359375
2018-01-16,25781.0,24980.408203125
2018-01-17,34465.0,33383.69140625
2018-01-18,28971.0,25651.51953125
2018-01-19,27931.0,27091.939453125
2018-01-22,26908.0,26707.767578125
2018-01-23,30804.0,27323.14453125
2018-01-24,26027.0,24215.595703125
2018-01-25,23903.0,23380.59765625
2018-01-26,24625.0,24675.09375
2018-01-29,30280.0,29072.845703125
2018-01-30,27487.0,26831.62109375
2018-01-31,30169.0,27912.9609375
2018-02-01,24415.0,23223.22265625
2018-02-02,25778.0,26480.111328125
2018-02-05,30711.0,30672.7109375
2018-02-06,37152.0,35578.25390625
2018-02-07,27155.0,28006.93359375
2018-02-08,21236.0,22255.6484375
2018-02-09,9967.0,12101.404296875
2018-02-12,50024.0,34918.96875
2018-02-13,32432.0,31578.41796875
2018-02-14,36883.0,32272.2734375
2018-02-15,23989.0,23638.38671875
2018-02-16,27100.0,26554.140625
2018-02-19,27911.0,27009.525390625
2018-02-20,30325.0,28333.80078125
2018-02-21,24734.0,24811.349609375
2018-02-22,20797.0,21872.9296875
2018-02-23,23314.0,23550.689453125
2018-02-26,26583.0,26950.37890625
2018-02-27,27284.0,25964.34375
2018-02-28,28120.0,27216.939453125
2018-03-01,24123.0,25332.0859375
2018-03-02,23412.0,24084.873046875
2018-03-05,29494.0,28271.314453125
2018-03-06,32499.0,30597.98046875
2018-03-07,33664.0,32860.64453125
2018-03-08,30687.0,28610.427734375
2018-03-09,31437.0,29247.5
2018-03-12,30468.0,28785.8984375
2018-03-13,29019.0,28128.8671875
2018-03-14,30230.0,28551.466796875
2018-03-15,23545.0,22338.7734375
2018-03-16,24746.0,23415.05078125
2018-03-19,24244.0,23903.044921875
2018-03-20,29281.0,27878.322265625
2018-03-21,27862.0,27420.404296875
2018-03-22,26470.0,25404.884765625
2018-03-23,26990.0,26543.775390625
2018-03-26,28462.0,28128.71484375
2018-03-27,29885.0,26134.552734375
2018-03-28,25794.0,24507.4140625
2018-03-29,24196.0,22393.25390625
2018-03-30,23912.0,22184.28515625
2018-04-02,0.0,24319.8984375
2018-04-03,31661.0,30199.443359375
2018-04-04,28684.0,27804.662109375
2018-04-05,29562.0,28186.05078125
2018-04-06,35540.0,33342.6875
2018-04-09,32982.0,30386.587890625
2018-04-10,30946.0,29568.775390625
2018-04-11,26829.0,26821.400390625
2018-04-12,34841.0,32665.38671875
2018-04-13,30722.0,28779.623046875
2018-04-16,31998.0,29973.69921875
2018-04-17,26872.0,25390.048828125
2018-04-18,33735.0,30342.69140625
2018-04-19,25338.0,25638.435546875
2018-04-20,21753.0,21773.982421875
2018-04-23,28791.0,26491.26953125
2018-04-24,28558.0,27014.974609375
2018-04-25,22603.0,23192.970703125
2018-04-26,23351.0,22419.642578125
2018-04-27,25988.0,25356.47265625
2018-04-30,14385.999999999998,14903.166015625
2018-05-01,11481.0,21177.734375
2018-05-02,29585.0,28979.2890625
2018-05-03,29067.0,29786.57421875
2018-05-04,25928.0,26747.677734375
2018-05-07,12840.0,13379.93359375
2018-05-08,19819.0,21076.083984375
2018-05-09,15838.0,19572.326171875
2018-05-10,24572.0,24739.44140625
2018-05-11,36878.0,30294.5703125
2018-05-14,32113.0,27419.91015625
2018-05-15,33810.0,30341.783203125
2018-05-16,28213.0,26954.4609375
2018-05-17,24936.0,25374.916015625
2018-05-18,27050.0,27654.564453125
2018-05-21,0.0,21162.490234375
2018-05-22,32007.0,29698.306640625
2018-05-23,28521.0,27055.005859375
2018-05-24,28460.0,26563.56640625
2018-05-25,28665.0,26752.763671875
2018-05-28,27409.0,24704.775390625
2018-05-29,26760.0,25823.375
2018-05-30,25197.0,25704.73046875
2018-05-31,21334.0,19596.01171875
2018-06-01,21874.0,21622.796875
2018-06-04,25442.0,26718.927734375
2018-06-05,27310.0,25517.95703125
2018-06-06,25690.0,23976.958984375
2018-06-07,27270.0,26778.951171875
2018-06-08,25999.0,25383.765625
2018-06-11,28607.0,27471.306640625
2018-06-12,31861.0,29575.423828125
2018-06-13,30888.0,30556.400390625
2018-06-14,26471.0,27053.298828125
2018-06-15,33181.0,31635.640625
2018-06-18,27652.0,26473.85546875
2018-06-19,27069.0,27349.140625
