,Trafic TG1,Prévision globale
2018-01-01,0.0,28015.078125
2018-01-02,24243.0,26225.796875
2018-01-03,24171.0,28532.796875
2018-01-04,32009.0,33782.8046875
2018-01-05,27897.0,27629.08984375
2018-01-08,31839.0,33395.359375
2018-01-09,31404.0,32281.87890625
2018-01-10,41010.0,35907.99609375
2018-01-11,37956.0,35181.34765625
2018-01-12,29898.0,31359.078125
2018-01-15,32067.0,32149.615234375
2018-01-16,25781.0,30502.419921875
2018-01-17,34465.0,32867.58203125
2018-01-18,28971.0,31962.46484375
2018-01-19,27931.0,29992.798828125
2018-01-22,26908.0,32321.173828125
2018-01-23,30804.0,29842.974609375
2018-01-24,26027.0,29876.2421875
2018-01-25,23903.0,26672.55859375
2018-01-26,24625.0,28362.287109375
2018-01-29,30280.0,29930.76953125
2018-01-30,27487.0,31001.994140625
2018-01-31,30169.0,30104.279296875
2018-02-01,24415.0,29107.609375
2018-02-02,25778.0,28323.23046875
2018-02-05,30711.0,33585.07421875
2018-02-06,37152.0,38183.3203125
2018-02-07,27155.0,29711.314453125
2018-02-08,21236.0,26130.509765625
2018-02-09,9967.0,22249.0078125
2018-02-12,50024.0,36310.41796875
2018-02-13,32432.0,33216.1796875
2018-02-14,36883.0,35055.23046875
2018-02-15,23989.0,24156.216796875
2018-02-16,27100.0,28194.041015625
2018-02-19,27911.0,29351.97265625
2018-02-20,30325.0,32859.43359375
2018-02-21,24734.0,25383.138671875
2018-02-22,20797.0,22375.02734375
2018-02-23,23314.0,25646.283203125
2018-02-26,26583.0,28739.96875
2018-02-27,27284.0,28245.55859375
2018-02-28,28120.0,29305.66015625
2018-03-01,24123.0,27005.53125
2018-03-02,23412.0,25870.171875
2018-03-05,29494.0,28414.525390625
2018-03-06,32499.0,30793.625
2018-03-07,33664.0,31035.908203125
2018-03-08,30687.0,29558.32421875
2018-03-09,31437.0,27970.21875
2018-03-12,30468.0,26813.35546875
2018-03-13,29019.0,26124.146484375
2018-03-14,30230.0,29388.76953125
2018-03-15,23545.0,25775.548828125
2018-03-16,24746.0,22903.16015625
2018-03-19,24244.0,23962.845703125
2018-03-20,29281.0,28308.380859375
2018-03-21,27862.0,27942.09765625
2018-03-22,26470.0,25348.376953125
2018-03-23,26990.0,28194.279296875
2018-03-26,28462.0,28418.201171875
2018-03-27,29885.0,28510.654296875
2018-03-28,25794.0,29064.044921875
2018-03-29,24196.0,25379.615234375
2018-03-30,23912.0,23455.501953125
2018-04-02,0.0,25909.501953125
2018-04-03,31661.0,31788.826171875
2018-04-04,28684.0,32537.765625
2018-04-05,29562.0,29227.66015625
2018-04-06,35540.0,34016.03125
2018-04-09,32982.0,30819.126953125
2018-04-10,30946.0,30634.353515625
2018-04-11,26829.0,32351.087890625
2018-04-12,34841.0,34720.22265625
2018-04-13,30722.0,29064.103515625
2018-04-16,31998.0,33698.47265625
2018-04-17,26872.0,28294.107421875
2018-04-18,33735.0,33258.5703125
2018-04-19,25338.0,29846.537109375
2018-04-20,21753.0,24438.2734375
2018-04-23,28791.0,30692.771484375
2018-04-24,28558.0,26757.119140625
2018-04-25,22603.0,27372.255859375
