date,Délai livraison,isPartial
2019-12-29,25,False
2019-12-30,76,False
2019-12-31,37,False
2020-01-01,0,False
2020-01-02,45,False
2020-01-03,62,False
2020-01-04,49,False
2020-01-05,0,False
2020-01-06,19,False
2020-01-07,25,False
2020-01-08,35,False
2020-01-09,18,False
2020-01-10,66,False
2020-01-11,73,False
2020-01-12,0,False
2020-01-13,42,False
2020-01-14,54,False
2020-01-15,28,False
2020-01-16,72,False
2020-01-17,0,False
2020-01-18,24,False
2020-01-19,35,False
2020-01-20,76,False
2020-01-21,30,False
2020-01-22,17,False
2020-01-23,0,False
2020-01-24,48,False
2020-01-25,28,False
2020-01-26,36,False
2020-01-27,30,False
2020-01-28,17,False
2020-01-29,44,False
2020-01-30,60,False
2020-01-31,39,False
2020-02-01,0,False
2020-02-02,0,False
2020-02-03,52,False
2020-02-04,53,False
2020-02-05,39,False
2020-02-06,17,False
2020-02-07,23,False
2020-02-08,43,False
2020-02-09,22,False
2020-02-10,56,False
2020-02-11,60,False
2020-02-12,47,False
2020-02-13,40,False
2020-02-14,69,False
2020-02-15,49,False
2020-02-16,35,False
2020-02-17,44,False
2020-02-18,24,False
2020-02-19,69,False
2020-02-20,0,False
2020-02-21,64,False
2020-02-22,0,False
2020-02-23,74,False
2020-02-24,21,False
2020-02-25,89,False
2020-02-26,83,False
2020-02-27,53,False
2020-02-28,42,False
2020-02-29,59,False
2020-03-01,37,False
2020-03-02,71,False
2020-03-03,100,False
2020-03-04,45,False
2020-03-05,50,False
2020-03-06,47,False
2020-03-07,0,False
2020-03-08,0,False
2020-03-09,0,False
2020-03-10,40,False
2020-03-11,57,False
2020-03-12,22,False
2020-03-13,98,False
2020-03-14,46,False
2020-03-15,0,False
2020-03-16,33,False
2020-03-17,34,False
2020-03-18,43,False
2020-03-19,62,False
2020-03-20,75,False
2020-03-21,48,False
2020-03-22,25,False
2020-03-23,0,False
2020-03-24,17,False
2020-03-25,76,False
2020-03-26,69,False
2020-03-27,11,False
2020-03-28,0,False
