date,Livraison express,isPartial
2021-09-26,31,False
2021-09-27,30,False
2021-09-28,45,False
2021-09-29,69,False
2021-09-30,28,False
2021-10-01,40,False
2021-10-02,35,False
2021-10-03,20,False
2021-10-04,31,False
2021-10-05,41,False
2021-10-06,21,False
2021-10-07,36,False
2021-10-08,29,False
2021-10-09,51,False
2021-10-10,0,False
2021-10-11,39,False
2021-10-12,0,False
2021-10-13,32,False
2021-10-14,22,False
2021-10-15,42,False
2021-10-16,29,False
2021-10-17,19,False
2021-10-18,0,False
2021-10-19,36,False
2021-10-20,49,False
2021-10-21,0,False
2021-10-22,25,False
2021-10-23,0,False
2021-10-24,20,False
2021-10-25,56,False
2021-10-26,0,False
2021-10-27,38,False
2021-10-28,65,False
2021-10-29,57,False
2021-10-30,34,False
2021-10-31,18,False
2021-11-01,0,False
2021-11-02,14,False
2021-11-03,73,False
2021-11-04,0,False
2021-11-05,0,False
2021-11-06,50,False
2021-11-07,25,False
2021-11-08,43,False
2021-11-09,23,False
2021-11-10,22,False
2021-11-11,0,False
2021-11-12,36,False
2021-11-13,33,False
2021-11-14,24,False
2021-11-15,39,False
2021-11-16,35,False
2021-11-17,49,False
2021-11-18,37,False
2021-11-19,33,False
2021-11-20,21,False
2021-11-21,22,False
2021-11-22,40,False
2021-11-23,26,False
2021-11-24,39,False
2021-11-25,23,False
2021-11-26,33,False
2021-11-27,54,False
2021-11-28,13,False
2021-11-29,50,False
2021-11-30,62,False
2021-12-01,14,False
2021-12-02,46,False
2021-12-03,46,False
2021-12-04,32,False
2021-12-05,42,False
2021-12-06,7,False
2021-12-07,50,False
2021-12-08,44,False
2021-12-09,47,False
2021-12-10,21,False
2021-12-11,72,False
2021-12-12,33,False
2021-12-13,58,False
2021-12-14,50,False
2021-12-15,70,False
2021-12-16,44,False
2021-12-17,73,False
2021-12-18,45,False
2021-12-19,78,False
2021-12-20,61,False
2021-12-21,75,False
2021-12-22,69,False
2021-12-23,81,False
2021-12-24,100,False
2021-12-25,26,False
