date,Point relais,isPartial
2018-12-30,37,False
2018-12-31,56,False
2019-01-01,37,False
2019-01-02,79,False
2019-01-03,74,False
2019-01-04,87,False
2019-01-05,78,False
2019-01-06,51,False
2019-01-07,67,False
2019-01-08,68,False
2019-01-09,88,False
2019-01-10,66,False
2019-01-11,68,False
2019-01-12,78,False
2019-01-13,55,False
2019-01-14,77,False
2019-01-15,88,False
2019-01-16,62,False
2019-01-17,100,False
2019-01-18,73,False
2019-01-19,74,False
2019-01-20,54,False
2019-01-21,71,False
2019-01-22,75,False
2019-01-23,65,False
2019-01-24,77,False
2019-01-25,77,False
2019-01-26,70,False
2019-01-27,45,False
2019-01-28,80,False
2019-01-29,79,False
2019-01-30,70,False
2019-01-31,84,False
2019-02-01,81,False
2019-02-02,60,False
2019-02-03,43,False
2019-02-04,82,False
2019-02-05,78,False
2019-02-06,73,False
2019-02-07,81,False
2019-02-08,76,False
2019-02-09,79,False
2019-02-10,35,False
2019-02-11,82,False
2019-02-12,82,False
2019-02-13,82,False
2019-02-14,78,False
2019-02-15,66,False
2019-02-16,86,False
2019-02-17,30,False
2019-02-18,77,False
2019-02-19,78,False
2019-02-20,84,False
2019-02-21,81,False
2019-02-22,62,False
2019-02-23,61,False
2019-02-24,50,False
2019-02-25,61,False
2019-02-26,75,False
2019-02-27,68,False
2019-02-28,70,False
2019-03-01,82,False
2019-03-02,64,False
2019-03-03,43,False
2019-03-04,72,False
2019-03-05,73,False
2019-03-06,72,False
2019-03-07,59,False
2019-03-08,62,False
2019-03-09,65,False
2019-03-10,36,False
2019-03-11,79,False
2019-03-12,76,False
2019-03-13,72,False
2019-03-14,78,False
2019-03-15,71,False
2019-03-16,68,False
2019-03-17,40,False
2019-03-18,74,False
2019-03-19,75,False
2019-03-20,74,False
2019-03-21,72,False
2019-03-22,68,False
2019-03-23,60,False
2019-03-24,38,False
2019-03-25,71,False
2019-03-26,74,False
2019-03-27,66,False
2019-03-28,75,False
2019-03-29,86,False
2019-03-30,69,False
