date,Suivi colis,isPartial
2018-12-30,32,False
2018-12-31,50,False
2019-01-01,27,False
2019-01-02,60,False
2019-01-03,67,False
2019-01-04,78,False
2019-01-05,50,False
2019-01-06,31,False
2019-01-07,59,False
2019-01-08,68,False
2019-01-09,67,False
2019-01-10,100,False
2019-01-11,87,False
2019-01-12,56,False
2019-01-13,21,False
2019-01-14,56,False
2019-01-15,83,False
2019-01-16,72,False
2019-01-17,75,False
2019-01-18,80,False
2019-01-19,45,False
2019-01-20,15,False
2019-01-21,47,False
2019-01-22,48,False
2019-01-23,49,False
2019-01-24,44,False
2019-01-25,39,False
2019-01-26,29,False
2019-01-27,14,False
2019-01-28,45,False
2019-01-29,45,False
2019-01-30,39,False
2019-01-31,51,False
2019-02-01,45,False
2019-02-02,33,False
2019-02-03,15,False
2019-02-04,45,False
2019-02-05,49,False
2019-02-06,48,False
2019-02-07,47,False
2019-02-08,42,False
2019-02-09,27,False
2019-02-10,16,False
2019-02-11,40,False
2019-02-12,48,False
2019-02-13,50,False
2019-02-14,43,False
2019-02-15,41,False
2019-02-16,25,False
2019-02-17,15,False
2019-02-18,38,False
2019-02-19,41,False
2019-02-20,40,False
2019-02-21,46,False
2019-02-22,39,False
2019-02-23,26,False
2019-02-24,12,False
2019-02-25,36,False
2019-02-26,40,False
2019-02-27,37,False
2019-02-28,34,False
2019-03-01,39,False
2019-03-02,24,False
2019-03-03,11,False
2019-03-04,38,False
2019-03-05,37,False
2019-03-06,39,False
2019-03-07,36,False
2019-03-08,40,False
2019-03-09,28,False
2019-03-10,14,False
2019-03-11,44,False
2019-03-12,45,False
2019-03-13,50,False
2019-03-14,44,False
2019-03-15,45,False
2019-03-16,32,False
2019-03-17,16,False
2019-03-18,37,False
2019-03-19,41,False
2019-03-20,46,False
2019-03-21,48,False
2019-03-22,43,False
2019-03-23,26,False
2019-03-24,15,False
2019-03-25,41,False
2019-03-26,40,False
2019-03-27,52,False
2019-03-28,41,False
2019-03-29,34,False
2019-03-30,25,False
