date,colis,isPartial
2021-06-27,39,False
2021-06-28,69,False
2021-06-29,73,False
2021-06-30,75,False
2021-07-01,72,False
2021-07-02,69,False
2021-07-03,59,False
2021-07-04,45,False
2021-07-05,84,False
2021-07-06,77,False
2021-07-07,82,False
2021-07-08,85,False
2021-07-09,84,False
2021-07-10,72,False
2021-07-11,40,False
2021-07-12,80,False
2021-07-13,82,False
2021-07-14,52,False
2021-07-15,94,False
2021-07-16,100,False
2021-07-17,67,False
2021-07-18,46,False
2021-07-19,86,False
2021-07-20,89,False
2021-07-21,88,False
2021-07-22,87,False
2021-07-23,78,False
2021-07-24,58,False
2021-07-25,39,False
2021-07-26,80,False
2021-07-27,82,False
2021-07-28,81,False
2021-07-29,78,False
2021-07-30,76,False
2021-07-31,56,False
2021-08-01,37,False
2021-08-02,77,False
2021-08-03,79,False
2021-08-04,82,False
2021-08-05,75,False
2021-08-06,75,False
2021-08-07,59,False
2021-08-08,37,False
2021-08-09,83,False
2021-08-10,90,False
2021-08-11,93,False
2021-08-12,81,False
2021-08-13,80,False
2021-08-14,65,False
2021-08-15,43,False
2021-08-16,80,False
2021-08-17,89,False
2021-08-18,86,False
2021-08-19,89,False
2021-08-20,88,False
2021-08-21,64,False
2021-08-22,44,False
2021-08-23,83,False
2021-08-24,87,False
2021-08-25,92,False
2021-08-26,89,False
2021-08-27,84,False
2021-08-28,64,False
2021-08-29,47,False
2021-08-30,83,False
2021-08-31,85,False
2021-09-01,80,False
2021-09-02,78,False
2021-09-03,81,False
2021-09-04,63,False
2021-09-05,47,False
2021-09-06,75,False
2021-09-07,78,False
2021-09-08,77,False
2021-09-09,77,False
2021-09-10,78,False
2021-09-11,62,False
2021-09-12,46,False
2021-09-13,87,False
2021-09-14,83,False
2021-09-15,78,False
2021-09-16,85,False
2021-09-17,84,False
2021-09-18,67,False
2021-09-19,44,False
2021-09-20,78,False
2021-09-21,89,False
2021-09-22,87,False
2021-09-23,80,False
2021-09-24,76,False
2021-09-25,60,False
