date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2017-01-01,76,13,0,38,42,13,92,0,29,36,24,33
2017-01-02,60,30,0,64,76,10,79,47,52,0,70,60
2017-01-03,56,31,0,54,59,0,81,16,40,30,75,65
2017-01-04,57,31,28,72,62,38,56,20,95,45,72,63
2017-01-05,58,33,0,46,68,26,60,23,33,46,48,65
2017-01-06,64,35,35,80,75,25,77,73,0,41,64,61
2017-01-07,66,20,0,28,36,32,100,46,19,39,58,48
2017-01-08,59,15,0,33,36,39,71,0,0,0,33,32
2017-01-09,54,36,0,87,60,18,64,48,30,19,71,64
2017-01-10,52,36,0,59,64,28,59,0,53,0,72,64
2017-01-11,58,32,0,38,43,22,63,34,49,17,69,55
2017-01-12,56,45,0,43,62,29,64,16,54,20,59,68
2017-01-13,61,43,31,77,42,41,42,26,0,0,76,69
2017-01-14,71,32,0,46,100,18,83,46,33,0,64,59
2017-01-15,67,16,0,87,39,53,65,48,41,0,61,37
2017-01-16,54,44,0,75,58,18,53,18,0,18,94,68
2017-01-17,62,60,0,64,73,34,48,46,0,28,77,83
2017-01-18,58,60,35,63,74,34,64,22,37,0,82,82
2017-01-19,57,52,0,54,95,23,51,74,0,34,85,83
2017-01-20,62,55,0,80,56,26,71,31,36,0,89,81
2017-01-21,70,34,0,67,43,36,94,0,0,0,85,58
2017-01-22,60,14,0,46,34,0,70,0,0,0,46,32
2017-01-23,57,40,0,67,74,0,68,0,37,0,87,69
2017-01-24,54,56,0,61,69,10,55,41,20,0,87,74
2017-01-25,57,50,0,48,39,17,62,37,45,0,69,72
2017-01-26,55,44,0,69,41,57,64,0,40,0,85,70
2017-01-27,60,52,68,43,36,35,83,36,34,0,84,70
2017-01-28,67,35,0,51,41,23,68,0,49,0,77,57
2017-01-29,61,14,0,0,53,0,44,0,0,0,36,30
2017-01-30,56,42,0,81,86,19,56,0,100,98,66,62
2017-01-31,49,61,0,33,56,32,54,26,45,0,72,75
2017-02-01,54,73,28,58,49,34,54,0,35,30,100,80
2017-02-02,59,82,27,60,43,51,82,60,20,26,71,85
2017-02-03,64,83,0,45,80,30,62,30,61,29,74,86
2017-02-04,67,58,0,54,40,27,68,33,91,0,67,71
2017-02-05,71,20,0,29,59,17,70,0,0,24,44,37
2017-02-06,59,67,0,96,69,0,67,100,56,0,66,76
2017-02-07,62,83,0,48,81,31,61,45,51,0,75,89
2017-02-08,59,86,27,32,49,71,51,18,39,0,76,95
2017-02-09,63,93,0,54,73,14,75,25,0,20,97,100
2017-02-10,68,90,0,47,33,28,74,39,0,39,71,88
2017-02-11,73,54,0,51,27,26,93,0,0,43,72,66
2017-02-12,77,26,0,78,36,17,95,21,26,21,53,36
2017-02-13,81,73,0,65,71,36,56,14,18,0,69,79
2017-02-14,100,74,0,41,91,42,96,42,18,22,75,75
2017-02-15,54,100,0,78,94,33,44,44,18,0,70,100
2017-02-16,55,83,0,39,40,31,50,32,42,0,80,81
