date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2017-01-01,24,31,29,61,50,29,12,50,61,30,23,33
2017-02-01,26,51,37,59,46,34,12,56,58,31,23,36
2017-03-01,22,36,60,55,46,30,10,59,52,35,22,37
2017-04-01,25,28,35,51,41,32,10,61,52,33,21,32
2017-05-01,26,27,64,55,43,39,11,56,56,38,23,31
2017-06-01,25,32,21,49,40,43,11,63,66,31,23,34
2017-07-01,27,49,33,58,45,42,11,71,64,37,28,44
2017-08-01,27,41,62,54,46,40,11,58,51,33,27,39
2017-09-01,28,50,36,65,50,38,12,57,59,41,25,41
2017-10-01,26,34,36,68,51,33,11,57,61,40,29,37
2017-11-01,31,36,69,74,58,38,12,65,75,49,35,40
2017-12-01,33,51,61,74,65,49,11,92,95,57,40,56
2018-01-01,26,33,58,68,54,35,11,58,65,44,30,39
2018-02-01,30,33,42,64,45,37,13,65,73,44,28,37
2018-03-01,25,26,22,54,46,29,10,53,54,34,26,32
2018-04-01,27,26,34,53,47,30,11,63,66,39,27,31
2018-05-01,27,32,45,53,48,34,11,54,70,38,32,34
2018-06-01,25,28,0,47,44,37,10,59,56,38,32,32
2018-07-01,30,34,59,48,43,50,12,74,71,47,37,49
2018-08-01,30,40,41,56,50,42,13,59,55,36,39,43
2018-09-01,31,40,48,64,55,39,15,66,80,50,41,42
2018-10-01,27,41,74,56,51,39,11,59,71,40,40,41
2018-11-01,25,37,65,62,57,39,10,64,77,35,45,41
2018-12-01,30,57,58,69,61,43,10,80,76,51,51,57
2019-01-01,27,53,96,61,58,39,10,51,64,42,45,48
2019-02-01,28,34,56,64,54,36,11,56,60,35,45,38
2019-03-01,25,32,52,60,52,33,10,50,58,33,42,36
2019-04-01,46,33,58,57,52,36,34,51,61,49,50,36
2019-05-01,27,34,48,61,52,37,10,55,68,37,45,42
2019-06-01,27,32,35,51,51,44,9,62,59,37,48,38
2019-07-01,28,37,78,51,43,48,10,73,74,46,58,42
2019-08-01,30,33,72,54,57,38,14,53,54,42,58,40
2019-09-01,27,32,58,62,53,37,12,58,61,38,52,37
2019-10-01,27,33,57,62,52,38,10,63,75,36,55,37
2019-11-01,27,37,22,70,59,32,10,71,57,42,62,44
2019-12-01,29,69,77,75,64,52,11,76,94,41,71,65
2020-01-01,25,48,55,64,56,33,10,55,74,41,63,49
2020-02-01,26,31,48,61,54,38,10,60,65,38,57,40
2020-03-01,83,34,38,40,54,88,100,57,70,100,36,43
2020-04-01,100,58,85,66,85,100,91,95,84,86,33,62
2020-05-01,65,74,87,78,83,62,43,100,97,62,72,71
2020-06-01,57,65,98,69,73,57,36,97,100,56,75,66
2020-07-01,46,58,71,56,64,47,36,95,73,43,65,64
2020-08-01,33,49,73,58,68,51,12,89,59,45,84,62
2020-09-01,28,44,58,59,67,41,12,68,66,45,78,57
2020-10-01,29,41,54,57,67,40,15,59,58,50,79,59
2020-11-01,38,67,96,98,91,52,22,81,75,65,100,85
2020-12-01,37,100,100,100,100,61,17,94,87,53,90,100
2021-01-01,39,61,86,75,80,41,20,70,72,57,65,65
2021-02-01,37,56,47,62,71,46,22,75,64,59,74,62
2021-03-01,37,55,63,58,69,46,18,70,73,48,75,64
2021-04-01,35,67,72,62,75,50,18,72,72,54,83,72
2021-05-01,38,72,49,48,62,56,16,65,82,50,85,71
2021-06-01,28,51,62,44,59,44,11,67,70,46,68,59
2021-07-01,30,50,62,40,55,46,12,73,81,52,72,58
2021-08-01,28,48,50,43,57,47,13,71,49,46,76,59
2021-09-01,25,44,45,42,60,40,11,58,70,48,68,52
2021-10-01,26,43,31,40,58,40,11,78,70,46,75,55
2021-11-01,26,47,63,51,65,40,12,72,78,45,75,58
2021-12-01,33,68,66,58,79,57,12,89,85,54,80,77
2022-01-01,29,46,75,50,72,42,13,68,72,59,75,58
2022-02-01,30,42,45,50,64,40,13,73,71,55,71,50
2022-03-01,25,42,76,42,60,39,13,78,77,62,67,52
2022-04-01,26,45,63,40,57,36,10,78,65,46,70,50
2022-05-01,27,42,54,40,56,44,11,76,81,44,70,52
2022-06-01,25,49,40,37,53,45,11,82,85,42,70,56
2022-07-01,27,49,41,38,56,58,12,80,85,48,78,61
2022-08-01,27,46,80,44,63,47,12,86,96,48,93,62
2022-09-01,24,43,66,40,60,48,11,81,88,53,90,61
2022-10-01,24,42,55,39,62,37,11,74,75,47,83,56
2022-11-01,25,49,68,43,60,34,10,71,84,56,82,66
2022-12-01,28,71,52,47,70,47,11,90,92,42,89,80
2023-01-01,26,47,79,44,63,30,11,82,74,45,74,61
2023-02-01,26,45,39,37,58,36,11,72,68,49,74,56
2023-03-01,23,42,48,35,55,30,11,62,68,46,71,54
2023-04-01,25,46,47,36,55,33,11,66,65,53,69,60
2023-05-01,23,52,87,32,55,35,10,67,66,44,79,67
2023-06-01,23,57,78,29,52,39,10,74,71,40,74,63
2023-07-01,23,51,48,31,54,43,10,82,70,47,78,62
2023-08-01,23,50,72,35,59,38,11,70,67,46,87,67
