numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210401000000;102000;20;0;110;2.300000;287.850000;280.850000;63;18680;0;mq;mq;mq;mq;mq;mq;mq;mq;101140;mq;mq;-440;mq;mq;mq;mq;285.250000;mq;mq;3.200000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210401000000;102010;10;0;110;0.500000;285.750000;280.850000;72;10690;0;mq;mq;mq;0;mq;mq;mq;mq;101440;mq;mq;-450;mq;mq;mq;mq;280.750000;mq;mq;0.700000;1.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20210401000000;101830;10;0;80;4.100000;283.350000;280.250000;81;10000;1;0;mq;40;3;3000;30;27;10;101720;mq;mq;-410;mq;mq;mq;mq;mq;mq;mq;4.800000;4.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;4;3000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210401000000;101930;20;1;120;2.400000;284.750000;282.150000;84;19740;0;mq;mq;mq;0;mq;mq;mq;mq;101120;mq;mq;-480;mq;mq;mq;mq;284.350000;mq;mq;2.700000;3.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20210401000000;101990;10;1;110;0.500000;286.150000;279.750000;65;41170;0;mq;mq;mq;0;mq;mq;mq;mq;100170;mq;mq;-450;mq;mq;mq;mq;282.850000;mq;mq;0.900000;1.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210401000000;102060;10;0;70;1.300000;277.550000;276.350000;92;10170;0;mq;mq;mq;0;mq;mq;mq;mq;100880;mq;mq;-460;mq;mq;mq;mq;276.150000;mq;mq;1.700000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20210401000000;101690;-20;8;130;3.300000;287.850000;279.950000;59;52030;0;mq;mq;mq;0;mq;mq;mq;mq;100520;mq;mq;-480;mq;mq;mq;mq;280.150000;mq;mq;4.900000;4.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20210401000000;101760;40;1;70;1.500000;286.650000;282.650000;77;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101060;mq;mq;-470;mq;mq;mq;mq;mq;mq;mq;2.100000;2.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20210401000000;101810;10;0;100;1.300000;285.950000;282.050000;77;15540;0;mq;mq;mq;0;mq;mq;mq;mq;101360;mq;mq;-520;mq;mq;mq;mq;282.250000;mq;mq;2.500000;3.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20210401000000;101980;20;2;310;0.500000;283.350000;281.250000;87;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100220;mq;mq;-480;mq;mq;mq;mq;283.250000;mq;mq;0.800000;1.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
