filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
16,7,l1,0.0,,"{'Prévision globale': {'avg_mape': 5.136993765882171, 'max_mape': 416.4972262912326}}","{'Prévision globale': {'avg_mape': 11.353051826837229, 'max_mape': 28.55449542027045}, 'Prévision journalière': {'avg_mape': 8.194312446740998, 'max_mape': 23.303005059749793}, 'Prévision hebdomadaire': {'avg_mape': 53.69080849220684, 'max_mape': 100.0}}"
16,7,l1,0.1,,"{'Prévision globale': {'avg_mape': 9.692724484437296, 'max_mape': 1337.7242024739583}}","{'Prévision globale': {'avg_mape': 9.95568285847363, 'max_mape': 20.844555587749795}, 'Prévision journalière': {'avg_mape': 11.853798094860565, 'max_mape': 27.035998030134305}, 'Prévision hebdomadaire': {'avg_mape': 55.760284269018086, 'max_mape': 100.0}}"
16,7,l1,0.01,,"{'Prévision globale': {'avg_mape': 6.954629289926627, 'max_mape': 414.72784223132254}}","{'Prévision globale': {'avg_mape': 9.635186783111955, 'max_mape': 21.761702707905545}, 'Prévision journalière': {'avg_mape': 9.820297036298694, 'max_mape': 18.932697661469934}, 'Prévision hebdomadaire': {'avg_mape': 54.14770230969168, 'max_mape': 100.0}}"
16,7,l1,0.001,,"{'Prévision globale': {'avg_mape': 10.511226419168512, 'max_mape': 1418.662109375}}","{'Prévision globale': {'avg_mape': 14.820583065787932, 'max_mape': 39.811995246956585}, 'Prévision journalière': {'avg_mape': 12.919460906373981, 'max_mape': 35.80911732511642}, 'Prévision hebdomadaire': {'avg_mape': 57.365558277414166, 'max_mape': 100.0}}"
16,7,l1,0.0001,,"{'Prévision globale': {'avg_mape': 5.97072291619302, 'max_mape': 168.6522712688644}}","{'Prévision globale': {'avg_mape': 12.857595021333632, 'max_mape': 27.40093218742149}, 'Prévision journalière': {'avg_mape': 13.16482820700621, 'max_mape': 33.78766524515759}, 'Prévision hebdomadaire': {'avg_mape': 58.02619829849037, 'max_mape': 100.0}}"
16,7,l2,,0.0,"{'Prévision globale': {'avg_mape': 9.484332944676927, 'max_mape': 561.968321219173}}","{'Prévision globale': {'avg_mape': 11.894109063984594, 'max_mape': 26.73851425329951}, 'Prévision journalière': {'avg_mape': 16.43805595522998, 'max_mape': 35.21160633689343}, 'Prévision hebdomadaire': {'avg_mape': 58.50546599900882, 'max_mape': 100.0}}"
16,7,l2,,0.1,"{'Prévision globale': {'avg_mape': 10.681678043565228, 'max_mape': 930.9648980034723}}","{'Prévision globale': {'avg_mape': 19.95145139192996, 'max_mape': 39.60514194791056}, 'Prévision journalière': {'avg_mape': 11.243981243692874, 'max_mape': 29.321514570821478}, 'Prévision hebdomadaire': {'avg_mape': 58.34090433956034, 'max_mape': 100.0}}"
16,7,l2,,0.01,"{'Prévision globale': {'avg_mape': 6.59755282099078, 'max_mape': 933.0628119574653}}","{'Prévision globale': {'avg_mape': 13.385411797769944, 'max_mape': 32.64316468672075}, 'Prévision journalière': {'avg_mape': 11.233508959960691, 'max_mape': 39.34274186744955}, 'Prévision hebdomadaire': {'avg_mape': 58.229366708546785, 'max_mape': 100.0}}"
16,7,l2,,0.001,"{'Prévision globale': {'avg_mape': 5.8534358043897745, 'max_mape': 202.6129190964803}}","{'Prévision globale': {'avg_mape': 11.580500691807018, 'max_mape': 26.914206563889792}, 'Prévision journalière': {'avg_mape': 13.993903392980844, 'max_mape': 46.76474538853175}, 'Prévision hebdomadaire': {'avg_mape': 58.427290116953486, 'max_mape': 100.0}}"
16,7,l2,,0.0001,"{'Prévision globale': {'avg_mape': 8.787650976631985, 'max_mape': 596.5247260199652}}","{'Prévision globale': {'avg_mape': 9.009679399349462, 'max_mape': 32.61313393761073}, 'Prévision journalière': {'avg_mape': 15.382014484992308, 'max_mape': 36.57137256824931}, 'Prévision hebdomadaire': {'avg_mape': 60.04373377659948, 'max_mape': 100.0}}"
16,7,l1_l2,0.0,0.0,"{'Prévision globale': {'avg_mape': 10.973932727528835, 'max_mape': 1925.600857204861}}","{'Prévision globale': {'avg_mape': 9.86665318127536, 'max_mape': 35.08913416466978}, 'Prévision journalière': {'avg_mape': 15.320914981545803, 'max_mape': 34.83111143450091}, 'Prévision hebdomadaire': {'avg_mape': 58.74226535473865, 'max_mape': 100.0}}"
16,7,l1_l2,0.0,0.1,"{'Prévision globale': {'avg_mape': 7.520898387685662, 'max_mape': 848.5120307074652}}","{'Prévision globale': {'avg_mape': 6.604066705354138, 'max_mape': 15.472956264341633}, 'Prévision journalière': {'avg_mape': 8.475091147123173, 'max_mape': 20.635280794645116}, 'Prévision hebdomadaire': {'avg_mape': 55.11892794390552, 'max_mape': 100.0}}"
16,7,l1_l2,0.0,0.01,"{'Prévision globale': {'avg_mape': 5.780086093435646, 'max_mape': 203.34404183540863}}","{'Prévision globale': {'avg_mape': 8.823908555210146, 'max_mape': 20.101789953982106}, 'Prévision journalière': {'avg_mape': 14.12273355002505, 'max_mape': 40.53007235143754}, 'Prévision hebdomadaire': {'avg_mape': 59.984045641958765, 'max_mape': 100.0}}"
16,7,l1_l2,0.0,0.001,"{'Prévision globale': {'avg_mape': 6.624882366433837, 'max_mape': 268.592146794155}}","{'Prévision globale': {'avg_mape': 9.840241442569939, 'max_mape': 18.838353267545468}, 'Prévision journalière': {'avg_mape': 11.6361768326848, 'max_mape': 33.69337690659378}, 'Prévision hebdomadaire': {'avg_mape': 59.45279150692299, 'max_mape': 100.0}}"
16,7,l1_l2,0.0,0.0001,"{'Prévision globale': {'avg_mape': 5.819325162522701, 'max_mape': 708.8419596354167}}","{'Prévision globale': {'avg_mape': 10.178821971445636, 'max_mape': 24.0889992809309}, 'Prévision journalière': {'avg_mape': 12.06289598645862, 'max_mape': 31.146583369187418}, 'Prévision hebdomadaire': {'avg_mape': 56.92650207377183, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.0,"{'Prévision globale': {'avg_mape': 8.516834103164493, 'max_mape': 1472.3200141059028}}","{'Prévision globale': {'avg_mape': 6.152316712360874, 'max_mape': 13.315892984255925}, 'Prévision journalière': {'avg_mape': 12.681857933379554, 'max_mape': 33.01026428679894}, 'Prévision hebdomadaire': {'avg_mape': 55.29303393661657, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.1,"{'Prévision globale': {'avg_mape': 8.138222798400953, 'max_mape': 827.54150390625}}","{'Prévision globale': {'avg_mape': 3.961365139396115, 'max_mape': 10.116476436709126}, 'Prévision journalière': {'avg_mape': 13.287133072199463, 'max_mape': 38.877409869153674}, 'Prévision hebdomadaire': {'avg_mape': 56.711622408042444, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.01,"{'Prévision globale': {'avg_mape': 9.120301436986646, 'max_mape': 936.3077799479166}}","{'Prévision globale': {'avg_mape': 8.866163406544796, 'max_mape': 21.50533488357378}, 'Prévision journalière': {'avg_mape': 15.244938776824771, 'max_mape': 23.662128488391712}, 'Prévision hebdomadaire': {'avg_mape': 55.78014699728332, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.001,"{'Prévision globale': {'avg_mape': 7.947383186348504, 'max_mape': 827.6297336154514}}","{'Prévision globale': {'avg_mape': 13.403419503831515, 'max_mape': 30.92658369797337}, 'Prévision journalière': {'avg_mape': 12.813460658624203, 'max_mape': 23.29506568679557}, 'Prévision hebdomadaire': {'avg_mape': 56.27060383877301, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.0001,"{'Prévision globale': {'avg_mape': 6.9045183982230105, 'max_mape': 116.0717699262831}}","{'Prévision globale': {'avg_mape': 9.140473681843645, 'max_mape': 15.810940347236283}, 'Prévision journalière': {'avg_mape': 10.321693211280747, 'max_mape': 25.809392821590066}, 'Prévision hebdomadaire': {'avg_mape': 55.09751176376825, 'max_mape': 100.0}}"
